id,year,award,prefix,name,gender,place,state,stateClass,indiaClass,area,areaClass
2616,2001,Padma Shri,Dr.,Sharadkumar,Male,USA,Foreign countries,foreign-countries,foreign,Medicine,medicine
4037,2014,Padma Shri,Dr.,Siddhartha,Male,USA,Foreign countries,foreign-countries,foreign,Medicine,medicine
4072,2014,Padma Shri,Prof.,Vamsi Krishna Mootha,Male,USA,Foreign countries,foreign-countries,foreign,Medicine,medicine
2050,1990,Padma Shri,Prof. Dr. (Smt.),Gisela Bonn,Female,Germany,Foreign countries,foreign-countries,foreign,Other,others
2247,1992,Padma Bhushan,Shri,Goro Koyama,Male,Japan,Foreign countries,foreign-countries,foreign,Other,others
4186,2015,Padma Shri,Shri,Jagat Guru Amrta Suryananda Maha Raja,Male,Portugal,Foreign countries,foreign-countries,foreign,Other,others
3280,2008,Padma Bhushan,Mrs.,Sunita,Female,USA,Foreign countries,foreign-countries,foreign,Other,others
7,1954,Padma Vibhushan,Shri,Jigme Dorji Wangchuk,Male,Bhutan,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2889,2004,Padma Shri,Ms.,Flora Isabel MacDonald,Female,Canada,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2792,2003,Padma Shri,Dr.,Francis Dore,Male,France,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
1822,1986,Padma Bhushan,Shri,Jean,Male,France,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2773,2003,Padma Bhushan,Shri,Herbert Paul Fischer,Male,Germany,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
1487,1977,Padma Shri,Dr.,Telo De Mascarenhas,Male,Germany,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2556,2001,Padma Vibhushan,Shri,Hosei Norota,Male,Japan,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
4138,2015,Padma Bhushan,Shri,Saichiro,Male,Japan,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2741,2002,Padma Shri,Shri,Taro,Male,Japan,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
1966,1989,Padma Bhushan,Shri,Yoshio,Male,Japan,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2864,2004,Padma Bhushan,Shri,Yoshiro,Male,Japan,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3992,2014,Padma Bhushan,Dr.,Justice Dalveer Bhandari,Male,Netherlands,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3108,2006,Padma Shri,Sheikh,Abdul Rahman Al Mahmoud,Male,Qatar,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3276,2008,Padma Bhushan,Late Mr.,Yuli M. Vorontsov,Male,Russia,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3790,2012,Padma Bhushan,Shri,George Yong-Boon Yeo,Male,Singapore,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3165,2007,Padma Bhushan,Ms.,Ela Gandhi,Female,South Africa,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
1997,1990,Bharat Ratna,Dr.,Nelson Rolihlahla Mandela,Male,South Africa,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2356,1998,Padma Vibhushan,Shri,Walter,Male,South Africa,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3580,2010,Padma Shri,Dr.,Rafael Iruzubieta Fernandez,Male,Spain,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3335,2008,Padma Shri,Mrs.,Colette Mathur,Female,Switzerland,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2023,1990,Padma Bhushan,Shri,Julius,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
1959,1989,Padma Bhushan,Late,Lord Fenner Brockway,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3289,2008,Padma Bhushan,Prof.,Lord Meghnad Jagdishchandra Desai,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2537,2000,Padma Shri,Shri,Satya Narayan Gourisaria,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2669,2002,Padma Bhushan,Prof.,Sushantha Kumar Bhattacharya,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3724,2011,Padma Shri,Prof.(Dr),Upendra,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
4078,2014,Padma Shri,Shri,Ashok Kumar Mago,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2555,2001,Padma Vibhushan,Shri,Benjamin Arthur Gilman,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2529,2000,Padma Shri,Shri,Enuga Sreenivasulu Reddy,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2664,2002,Padma Bhushan,Congressman,Frank Pallone,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2665,2002,Padma Bhushan,Congressman,Gary Ackerman,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2739,2002,Padma Shri,Shri,Phillips,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
4240,2016,Padma Bhushan,Shri,Robert Dean Blackwill,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
4240,2017,Padma Bhushan,Shri,Robert Dean Blackwill,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
3556,2010,Padma Bhushan,Shri,Sant Singh Chatwal,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
2590,2001,Padma Bhushan,Shri,Swadesh,Male,USA,Foreign countries,foreign-countries,foreign,Public Affairs,public-affairs
1710,1984,Padma Shri,Prof.(Miss),Maria Renee Cura,Female,Argentina,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
161,1958,Padma Shri,Dr.,Bal Raj Nijhawan,Male,Austria,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2305,1992,Padma Shri,Shri,Gjanardhana Puranik Narayana Rao,Male,Bhutan,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3348,2008,Padma Shri,Prof.,Joseph H. Hulse,Male,Canada,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
1752,1985,Padma Bhushan,Prof.,Bernard Peters,Male,Denmark,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
